鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
文山區,房地(土地+建物)+車位,臺北市文山區車前路１７號五樓,19.21,商,,,1101221,土地1建物1車位2,五層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,272.76,3,2,2,有,有,53000000,229340,坡道平面,66.08,5600000,,RPVNMLSJKHHGFAA67DA,115.26,10.5,12.1,有,2.0
中正區,房地(土地+建物),臺北市中正區南昌路二段１４２之１號四樓之２,3.33,商,,,1110114,土地2建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960906,35.86,1,1,1,有,有,10000000,278862,,0.0,0,夾層；,RPRNMLTJKHHGFAA37DA,21.48,2.19,0.0,有,3.0
萬華區,房地(土地+建物)+車位,臺北市萬華區長沙街二段６１號七樓,11.95,商,,,1101220,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,137.26999999999998,3,2,2,有,有,22070000,171031,塔式車位,15.83,1300000,塔式車位位置：地下三層。,RPWNMLKKJHHGFBA07DA,73.33,0.0,0.0,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區艋舺大道２７５巷１８號十三樓,42.1,都市：其他:特定專用區(一)。,,,1101214,土地1建物1車位2,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1080416,350.48,0,2,3,有,有,51000000,165836,坡道平面,69.48,4400000,,RPPOMLKLJHHGFBA56DA,172.15,2.0,16.04,有,
大同區,房地(土地+建物)+車位,臺北市大同區迪化街二段１５８號十樓之９,11.92,住,,,1110103,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100106,115.85,2,2,1,有,有,19880000,171601,坡道平面,32.11,0,,RPXOMLRLJHHGFBA08DA,47.53,4.23,4.09,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區環河南路三段１３３號三樓,20.87,住,,,1101212,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050419,173.82,4,2,2,有,有,24800000,155186,升降平面,26.9,2000000,,RPSOMLSJKHHGFBA57DA,83.95,6.27,6.92,有,8.0
中山區,房地(土地+建物)+車位,臺北市中山區松江路１１８號十六樓,10.94,商,,,1090611,土地2建物1車位1,十六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100830,200.01,2,2,2,有,有,83943491,464174,坡道平面,26.49,3400000,總價內含工程減帳＄256509元，不含面積找補款。預售屋、或土地及建物分件登記案件；,RPQPMLKKJHHGFCA76DA,102.29,0.0,7.61,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區新豐街５８號七樓,67.62,住,,,1101227,土地1建物1車位2,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0990505,326.99,3,2,3,有,有,68000000,207957,坡道平面,56.58,0,,RPWOMLOLJHHGFCA77DA,159.88,12.71,12.99,有,11.0
信義區,房地(土地+建物)+車位,臺北市信義區中坡南路２０１巷１８之２號五樓,14.96,住,,,1101218,土地1建物1車位1,五層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100423,140.51999999999998,2,2,1,有,有,33970000,241745,坡道平面,32.77,0,,RPXOMLLKJHHGFDA57DA,56.1,9.86,5.2,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號十樓,39.89,住,,,1101119,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,252.7,4,2,2,有,有,63500000,275518,坡道平面,30.21,2200000,,RPRPMLPLJHHGFEA67DA,124.72,5.7,14.67,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號十二樓,40.04,住,,,1101120,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,282.90999999999997,4,2,2,有,有,64900000,273720,坡道平面,60.42,4000000,,RPSPMLPLJHHGFEA77DA,124.72,5.7,14.67,有,
士林區,房地(土地+建物),臺北市士林區基河路３００巷２５號九樓,18.24,住,,,1101120,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,101.97,2,2,2,有,有,28350000,278023,,0.0,0,,RPQNMLQLJHHGFEA47DA,57.66,4.77,4.05,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２５號十樓,18.4,住,,,1101118,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,132.19,2,2,2,有,有,29720000,269857,坡道平面,30.21,2200000,,RPRNMLQLJHHGFEA57DA,57.66,4.77,4.05,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２５號十一樓,18.4,住,,,1101201,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,132.19,2,2,2,有,有,30000000,272602,坡道平面,30.21,2200000,,RPXNMLQLJHHGFEA18DA,57.66,4.77,4.05,有,
士林區,房地(土地+建物),臺北市士林區基河路３００巷２５號十二樓,18.24,住,,,1101120,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,101.97,2,2,2,有,有,27850000,273120,,0.0,0,,RPOOMLQLJHHGFEA37DA,57.66,4.77,4.05,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２１號四樓,34.78,住,,,1101202,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.3,3,2,2,有,有,51500000,254006,坡道平面,30.21,2200000,,RPPOMLQLJHHGFEA47DA,107.67,10.88,7.99,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２７號十二樓,38.5,住,,,1101124,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,244.97000000000003,4,2,2,有,有,62150000,277286,坡道平面,30.21,2600000,,RPQOMLQLJHHGFEA57DA,118.63,5.7,15.72,有,
士林區,房地(土地+建物),臺北市士林區基河路３００巷２５號四樓,18.24,住,,,1101120,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,101.97,2,2,2,有,有,26500000,259880,,0.0,0,,RPROMLQLJHHGFEA67DA,57.66,4.77,4.05,有,
士林區,房地(土地+建物)+車位,臺北市士林區芝玉路一段２２６號十三樓之２,49.37,住,,,1110114,土地1建物1車位2,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0971112,239.79000000000002,3,2,2,有,有,52000000,234214,坡道機械,30.58,3000000,,RPRNMLRLJHHGFEA67DA,126.73,4.33,12.99,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號三樓,34.94,住,,,1101129,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.43,3,2,2,有,有,53700000,265163,坡道平面,30.21,2200000,,RPVNMLOLJHHGFEA77DA,111.16,5.7,9.76,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號四樓,34.94,住,,,1101123,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.43,3,2,2,有,有,52880000,260941,坡道平面,30.21,2200000,,RPWNMLOLJHHGFEA87DA,111.16,5.7,9.76,有,
士林區,房地(土地+建物)+車位,臺北市士林區基河路３００巷２３號七樓,34.94,住,,,1101123,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101117,224.43,3,2,2,有,有,53800000,265678,坡道平面,30.21,2200000,,RPOOMLOLJHHGFEA17DA,111.16,5.7,9.76,有,
北投區,房地(土地+建物),臺北市北投區幽雅路７號十一樓之８,9.95,,,,1110111,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980205,61.54,0,0,0,無,有,7680000,124797,,0.0,0,陽台外推；,RPWPMLTJKHHGFEA48DA,31.18,1.13,6.55,有,25.0
大安區,房地(土地+建物)+車位,臺北市大安區復興南路二段７８巷３０弄３號三樓之２,26.2,住,,,1101204,土地1建物1車位1,三層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0761105,197.04,3,2,2,有,有,52500000,266443,坡道平面,39.92,0,車位樓層門牌為地下三層，現況使用為地下二層。陽台外推；其他增建；,RPPOMLLKJHHGFFA96DA,145.65,1.13,15.2,有,26.0
大安區,房地(土地+建物),臺北市大安區仁愛路四段３８８之１號九樓,11.36,住,,,1101223,土地1建物1車位0,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0690325,104.27,3,2,2,有,有,34500000,330872,,0.0,0,,RPRPMLLKJHHGFFA27DA,79.12,0.0,13.54,有,27.0
大安區,房地(土地+建物),臺北市大安區大安路二段８０號十五樓,37.97,住,,,1080104,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,237.02999999999997,4,2,2,有,無,104000000,438763,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSNMLSJKHHGFFA87DA,136.04,16.0,5.66,有,
大安區,房地(土地+建物),臺北市大安區大安路二段８０號十五樓之１,36.4,住,,,1080104,土地1建物1車位0,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,227.25,4,2,2,有,無,101400000,446205,,0.0,0,預售屋、或土地及建物分件登記案件；,RPTNMLSJKHHGFFA97DA,117.11,9.07,25.03,有,
信義區,房地(土地+建物)+車位,臺北市信義區忠孝東路五段４６９號五樓之２,13.37,商,,,1101211,土地2建物1車位1,五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,145.69,3,2,2,有,有,45650000,375275,坡道平面,32.04,3000000,,RPVNMLQLJIGGFDA97EA,70.74,2.9,6.39,有,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８２號十五樓,41.48,住,,,1090825,土地1建物1車位3,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,349.11,4,2,2,有,無,120000000,450571,坡道平面,102.09,8700000,預售屋、或土地及建物分件登記案件；,RPTOMLTJKHHGFFA28EA,127.64,9.06,27.76,有,
大安區,房地(土地+建物)+車位,臺北市大安區敦化南路二段５６號十一樓之１,23.74,住,,,1110129,土地2建物1車位1,十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0710113,299.22999999999996,5,2,2,有,有,99000000,374845,坡道平面,48.47,5000000,,RPOPMLNJJHHGFFA17EA,242.34,0.0,16.93,有,36.0
萬華區,房地(土地+建物),臺北市萬華區長沙街二段８９號十二樓之１,6.03,商,,,1110110,土地1建物1車位0,十二層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0860726,70.91,2,1,1,有,有,12500000,176280,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKKKHHGFBA76EA,43.07,0.0,4.21,有,39.0
中正區,房地(土地+建物),臺北市中正區衡陽路２６號九樓之１,4.68,商,,,1110123,土地1建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050503,58.010000000000005,0,0,0,無,有,18800000,324082,,0.0,0,,RPTOMLKKKHHGFBA07EA,32.47,1.16,3.07,有,
中正區,房地(土地+建物)+車位,臺北市中正區衡陽路２６號十四樓之１,7.47,商,,,1110126,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050503,105.67,1,1,1,有,有,31980000,320818,其他,13.78,2500000,,RPUOMLKKKHHGFBA17EA,46.88,0.0,11.23,有,
松山區,房地(土地+建物)+車位,臺北市松山區敦化南路一段３號十六樓之１,16.78,住,,,1101210,土地2建物1車位2,十六層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100203,268.9,2,2,2,有,無,122680000,574182,坡道平面,66.56,6500000,,RPPOMLLKKHHGFDA86DA,112.93,7.35,12.94,有,
南港區,房地(土地+建物)+車位,臺北市南港區向陽路２５８巷１３號十四樓,58.38,住,,,1101211,土地1建物1車位2,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950803,309.66999999999996,6,2,2,有,有,53500000,225508,坡道平面,94.6,5000000,,RPQPMLSJKHHGFDA67DA,136.38,5.68,15.39,有,44.0
信義區,房地(土地+建物),臺北市信義區信義路五段１２７號六樓之１５,7.22,都市：其他:特定業務區(信義計畫特定專用區)。,,,1101228,土地1建物1車位0,六層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0951229,45.99,1,1,1,有,有,11500000,250054,,0.0,0,,RPUOMLQLJHHGFDA87DA,25.73,2.25,2.47,有,45.0
松山區,房地(土地+建物),臺北市松山區八德路三段１６５號三樓之８,9.58,商,,,1110113,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070331,110.60000000000001,2,2,2,有,有,43500000,393309,,0.0,0,,RPVOMLQLJHHGFDA97DA,62.96,9.22,4.08,有,
松山區,房地(土地+建物)+車位,臺北市松山區八德路三段１６５號十二樓,8.67,商,,,1101225,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070331,135.92000000000002,2,2,1,有,有,44500000,409927,坡道平面,36.39,3700000,,RPXOMLSKJHHGFDA28DA,55.61,9.02,4.25,有,
中山區,房地(土地+建物)+車位,臺北市中山區林森北路５８５號六樓之５,13.0,商,,,1110109,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000726,160.97,2,2,1,有,有,31500000,195689,坡道平面,39.18,0,,RPPOMLKKKHHGFCA66DA,70.11,1.49,10.71,有,
中山區,房地(土地+建物),臺北市中山區德惠街１８號十二樓之３,9.86,商,,,1101224,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041221,90.71000000000001,1,0,1,有,有,19166848,211298,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXSMLLKJHHGFCA87DA,59.78,1.49,2.34,有,48.0
萬華區,房地(土地+建物),臺北市萬華區成都路１３９號四樓之９,7.0,商,,,1101030,土地1建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041001,100.28999999999999,1,1,1,有,有,18500000,184465,,0.0,0,,RPPNMLTKJHHGFBA27DA,56.12,0.0,10.15,有,50.0
萬華區,房地(土地+建物),臺北市萬華區青年路１５２巷２４號二樓,37.7,住,,,1101223,土地4建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970103,176.57,3,2,2,有,有,29500000,167073,,0.0,0,,RPPNMLSKJHHGFBA17DA,96.09,0.0,9.34,有,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１６號六樓,24.91,住,,,1071023,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,182.67000000000002,3,2,2,有,有,35600000,218329,坡道平面,34.27,3200000,預售屋、或土地及建物分件登記案件；,RPPOMLKKKHHGFAA09DA,79.79,3.63,6.23,有,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷８號八樓,22.75,住,,,1070722,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,166.42000000000002,3,2,2,有,有,36000000,234606,坡道平面,24.48,2700000,預售屋、或土地及建物分件登記案件；,RPVOMLRJKHHGFAA67DA,76.68,3.63,5.23,有,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１０號八樓,22.77,住,,,1070917,土地1建物1車位1,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,166.32,3,2,2,有,有,35500000,230541,坡道平面,24.48,2800000,預售屋、或土地及建物分件登記案件；,RPXOMLRJKHHGFAA87DA,76.75,3.05,5.59,有,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１６號九樓,23.1,住,,,1090520,土地1建物1車位1,九層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,169.45,3,2,2,有,有,37550000,236972,坡道平面,21.12,2400000,預售屋、或土地及建物分件登記案件；,RPQPMLRJKHHGFAA27DA,79.79,3.63,6.23,有,
中正區,房地(土地+建物)+車位,臺北市中正區牯嶺街９５巷１０號十三樓,22.77,住,,,1070614,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101025,166.32,3,2,2,有,有,38000000,248167,坡道平面,24.48,2800000,預售屋、或土地及建物分件登記案件；,RPRPMLRJKHHGFAA37DA,76.75,3.05,5.59,有,
文山區,房地(土地+建物)+車位,臺北市文山區辛亥路四段７７巷１７號四樓,59.98,住,,,1101010,土地4建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851107,152.14,3,2,2,有,有,22600000,148547,坡道平面,0.0,1800000,其他增建；,RPQNMLRKJHHGFAA07DA,75.59,2.04,7.9,有,52.0
文山區,房地(土地+建物)+車位,臺北市文山區保儀路６２號二十一樓,13.67,商,,,1101226,土地1建物1車位1,二十一層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1030613,188.72,3,2,2,有,有,34350000,205755,坡道平面,34.41,2600000,陽台外推；,RPWNMLRJKHHGFAA67DA,85.73,7.95,8.15,有,53.0
文山區,房地(土地+建物)+車位,臺北市文山區車前路２１號二十六樓,23.15,商,,,1101216,土地1建物1車位2,二十六層,三十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1040427,318.77,4,2,2,有,有,76500000,243919,坡道平面,28.1,5600000,,RPVOMLOLJHHGFAA47DA,140.98,16.23,12.37,有,
萬華區,房地(土地+建物)+車位,臺北市萬華區德昌街１３１號十五樓之２,46.48,住,,,1101203,土地1建物1車位2,十五層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000131,294.26,3,2,2,有,有,57680000,196017,坡道平面,66.36,0,,RPUPMLPJJHHGFBA47DA,133.68,6.9,12.27,有,
中正區,房地(土地+建物),臺北市中正區信義路二段２５９號四樓之１,6.22,商,,,1110121,土地12建物1車位0,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1070702,59.11,1,1,1,有,有,26820000,453730,,0.0,0,,RPVOMLSJKHHGFBA87DA,31.94,1.06,4.33,有,54.0
萬華區,房地(土地+建物)+車位,臺北市萬華區康定路１０３號二十四樓之８,11.19,商,,,1101220,土地1建物1車位1,二十四層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,194.4,3,2,2,有,有,35500000,182613,坡道平面,0.0,0,,RPPNMLLKKHHGFBA56DA,94.33,5.54,6.14,有,55.0
萬華區,房地(土地+建物),臺北市萬華區康定路１０３號八樓之１０,3.53,商,,,1101231,土地1建物1車位0,八層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1050331,52.22,1,1,1,有,有,9500000,181923,,0.0,0,,RPWOMLKKKHHGFBA27DA,29.69,0.0,4.82,有,56.0
中山區,房地(土地+建物),臺北市中山區林森北路３９９巷２１號六樓之１,9.95,商,,,1101218,土地3建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730927,137.55,5,1,4,有,有,20700000,150491,,0.0,0,其他增建；,RPQQMLRLJHHGFCA67DA,106.82,0.0,8.23,有,61.0
士林區,房地(土地+建物),臺北市士林區福國路９８號二樓之３,16.43,商,,,1101113,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0680503,122.17999999999999,3,2,2,有,有,22000000,180062,,0.0,0,其他增建；,RPOPMLKMJIGGFEA96DA,98.73,0.0,11.98,有,
士林區,房地(土地+建物)+車位,臺北市士林區文林路７６０號十一樓,33.15,住,,,1110116,土地2建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930510,224.48,4,2,2,有,有,52000000,255888,坡道平面,32.99,3000000,陽台外推；其他增建；,RPUOMLTJKHHGFEA18DA,121.3,0.0,16.36,有,
士林區,房地(土地+建物)+車位,臺北市士林區芝玉路一段１９７巷７號六樓,35.95,住,,,1110110,土地1建物1車位1,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000720,204.78,3,2,2,有,有,46000000,267097,坡道平面,43.79,3000000,,RPQPMLTJKHHGFEA87DA,99.65,0.86,7.62,有,64.0
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８０號七樓之１,23.59,住,,,1090415,土地1建物1車位2,七層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,207.26,2,2,2,有,無,64500000,421726,坡道平面,68.06,5800000,預售屋、或土地及建物分件登記案件；,RPPNMLSJKHHGFFA57DA,82.84,6.6,3.25,有,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８０號十四樓之１,43.5,住,,,1090512,土地1建物1車位2,十四層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,331.65999999999997,4,2,2,有,無,120000000,433232,坡道平面,68.06,5800000,預售屋、或土地及建物分件登記案件；,RPQNMLSJKHHGFFA67DA,149.38,10.05,16.04,有,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８０號九樓之１,23.59,住,,,1100630,土地1建物1車位2,九層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,207.26,2,2,2,有,無,65690000,425965,坡道平面,68.06,6400000,預售屋、或土地及建物分件登記案件；,RPWNMLSJKHHGFFA28DA,82.84,6.6,3.25,有,
中山區,房地(土地+建物),臺北市中山區林森北路５３６號二樓之６,4.14,商,,,1101221,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940826,45.010000000000005,2,1,1,有,有,10500000,233281,,0.0,0,,RPOQMLKKKHHGFCA86EA,24.65,0.31,3.13,有,67.0
中山區,房地(土地+建物),臺北市中山區林森北路３０６號十樓之１,4.03,商,,,1101229,土地1建物1車位0,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920213,36.83,1,0,1,有,有,8000000,217214,,0.0,0,,RPRNMLLKKHHGFCA96EA,19.43,0.0,5.42,有,
信義區,房地(土地+建物),臺北市信義區松德路１７８之１號六樓,45.23,都市：其他:特定業務區(信義計畫特定專用區)。,,,1100730,土地1建物2車位0,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0800309,208.34,3,2,2,有,有,69800000,335029,,0.0,0,,RPURMLKKJHHGFDA57EA,146.2,4.94,16.16,有,
南港區,房地(土地+建物)+車位,臺北市南港區三重路４１巷３３號三樓之３,34.77,住,,,1101104,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010119,314.78999999999996,4,2,2,有,有,58300000,219396,坡道平面,71.84,5000000,,RPROMLLLJHHGFDA17EA,139.45,12.17,12.7,有,
信義區,房地(土地+建物),臺北市信義區忠孝東路五段４６９號十二樓之５,4.7,商,,,1110120,土地2建物1車位0,十二層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,42.32,1,1,1,有,有,16120000,380907,,0.0,0,,RPSNMLOKKHHGFDA47EA,24.85,0.0,4.89,有,
松山區,房地(土地+建物)+車位,臺北市松山區八德路四段６３６號八樓之５,4.75,商,,,1101115,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021216,63.790000000000006,1,1,1,有,有,14900000,233579,坡道機械,0.0,0,,RPUNMLLKKHHGFDA37EA,27.9,2.65,0.0,有,69.0
大安區,房地(土地+建物)+車位,臺北市大安區和平東路三段４５２號五樓之３,13.29,住,,,1101015,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,114.2,1,2,1,有,有,22580000,263308,坡道平面,36.99,2250000,,RPUNMLRJJHHGFFA97EA,45.63,0.0,3.21,有,71.0
信義區,房地(土地+建物)+車位,臺北市信義區信義路五段９７號七樓,44.59,都市：其他:特定業務區(信義計畫特定專用區)。,,,1101212,土地1建物2車位1,七層,二十七層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0961228,292.95,4,2,3,有,有,123000000,474855,坡道平面,43.4,4500000,陽台外推；其他增建；,RPVOMLLLJHHGFDA57EA,155.79,6.52,16.75,有,
信義區,房地(土地+建物),臺北市信義區松山路２４２號四樓,13.51,住,,,1101231,土地2建物1車位0,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0730608,87.97,2,2,1,有,有,16000000,181880,,0.0,0,,RPXOMLLLJHHGFDA77EA,58.13,0.0,6.22,有,
大安區,房地(土地+建物),臺北市大安區新生南路三段２號十二樓,13.17,商,,,1101209,土地1建物1車位0,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0671116,149.01,3,2,2,有,有,46600000,312731,,0.0,0,陽台外推；其他增建；,RPPNMLNKKHHGFFA17DA,114.37,0.0,9.61,有,77.0
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８２號十五樓之１,43.5,住,,,1080711,土地1建物1車位3,十五層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,361.66,4,2,2,有,無,122800000,436106,坡道平面,102.09,9600000,預售屋、或土地及建物分件登記案件；,RPOOMLSJKHHGFFA57DA,150.58,16.44,5.81,有,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８２號二十一樓,34.33,住,,,1080920,土地1建物1車位2,二十一層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,274.42,4,2,2,有,無,96900000,441462,坡道平面,68.06,5800000,預售屋、或土地及建物分件登記案件；,RPQOMLSJKHHGFFA77DA,104.85,8.93,23.62,有,
大安區,房地(土地+建物)+車位,臺北市大安區大安路二段８０號十六樓,36.21,住,,,1100628,土地1建物1車位2,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1100831,286.26,4,2,2,有,無,100880000,433017,坡道平面,68.06,6400000,預售屋、或土地及建物分件登記案件；,RPRNMLSJKHHGFFA77DA,124.4,15.19,5.66,有,
內湖區,房地(土地+建物)+車位,臺北市內湖區新富街１３９號三樓,33.45,住,,,1101216,土地1建物1車位1,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020808,218.88,3,2,2,有,有,43000000,229059,坡道平面,42.07,2500000,,RPUNMLLKKHHGFCA17DA,106.18,4.8,11.36,有,79.0
中山區,房地(土地+建物),臺北市中山區林森北路４８１號七樓之９,4.83,商,,,1101222,土地1建物1車位0,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920122,43.69,1,2,1,有,有,9200000,210575,,0.0,0,陽台外推；,RPSQMLLKKHHGFCA27DA,23.77,0.74,3.11,有,
