鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８０號,34.87,都市：其他:住宅區,,,1110128,土地1建物1車位1,一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,183.5,3,2,2,有,有,15500000,92268,坡道平面,35.02,1800000,預售屋、或土地及建物分件登記案件；,RPTNMLMLKHHGFGH48EA,90.58,0.0,10.72,有,
大溪區,房地(土地+建物)+車位,桃園市大溪區員林路一段３巷２９號十七樓,65.64,都市：其他:第二種住宅區,,,1101213,土地5建物1車位2,十七層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030926,294.28999999999996,3,2,2,有,有,16500000,56067,坡道平面,0.0,0,,RPQOMLPKKHHGFCH08EA,130.28,0.0,18.69,有,344.0
中壢區,房地(土地+建物),桃園市中壢區環西路二段３００巷６之６號十四樓,6.49,都市：其他:住宅區,,,1110102,土地2建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000628,83.56,2,2,1,有,有,6400000,76592,,0.0,0,陽台外推；其他增建；,RPOVMLOKKHHGFBH38EA,43.16,1.34,12.73,有,
桃園區,房地(土地+建物)+車位,桃園市桃園區樹仁三街１５巷３２號十四樓,14.94,都市：其他:住宅區,,,1110101,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030110,118.68,2,2,1,有,有,8320000,76688,坡道平面,27.14,1300000,,RPXQMLQKKHHGFAH88EA,58.41,0.0,4.01,有,347.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號三樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,182.47,3,2,2,有,有,13790000,81637,坡道平面,33.15,1600000,預售屋、或土地及建物分件登記案件；,RPRNMLRJKHHGFGH48DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號二樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13800000,82379,坡道平面,35.02,1500000,預售屋、或土地及建物分件登記案件；,RPSNMLRJKHHGFGH58DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８８號四樓,35.06,都市：其他:住宅區,,,1110128,土地1建物1車位1,四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,184.32999999999998,3,2,2,有,有,13650000,80705,坡道平面,35.02,1600000,預售屋、或土地及建物分件登記案件；,RPTNMLRJKHHGFGH68DA,91.72,0.0,9.95,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區文化街９０巷８２號十四樓,41.45,都市：其他:住宅區,,,1110128,土地1建物1車位2,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101209,218.51999999999998,3,2,2,有,有,15500000,85533,坡道平面,70.04,2800000,預售屋、或土地及建物分件登記案件；,RPVQMLQJKHHGFGH09DA,90.58,0.0,10.72,有,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區高雙路１５號十四樓,17.27,都市：其他:住宅區,,,1101224,土地1建物1車位1,十四層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071023,131.32999999999998,2,2,1,有,有,7800000,59392,坡道平面,0.0,0,,RPUNMLRLKIGGFGH98DA,54.73,0.0,7.07,有,349.0
八德區,房地(土地+建物)+車位,桃園市八德區建德路１８８號十六樓,20.97,都市：其他:商業區,,,1090614,土地1建物1車位1,十六層,二十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101105,166.49,3,2,2,有,有,9570000,60840,坡道平面,35.49,1600000,預售屋、或土地及建物分件登記案件；,RPVNMLPKKHHGFFH68DA,82.44,0.0,6.68,有,
